From	To
ENSP00000011898	TSN9_HUMAN
ENSP00000012049	QPCTL_HUMAN
ENSP00000012134	ZEP2_HUMAN
ENSP00000012443	PPP5_HUMAN
ENSP00000013034	NDKA_HUMAN
ENSP00000013070	UBR7_HUMAN
ENSP00000013222	INMT_HUMAN
ENSP00000013807	ERCC1_HUMAN
ENSP00000014914	RAI3_HUMAN
ENSP00000014930	HEBP1_HUMAN
ENSP00000014935	DNSL1_HUMAN
ENSP00000016171	COX15_HUMAN
ENSP00000016913	M4A12_HUMAN
ENSP00000016946	RGPD5_HUMAN
ENSP00000017003	XYLT2_HUMAN
ENSP00000019103	SCTR_HUMAN
ENSP00000019317	RBP1_HUMAN
ENSP00000020673	PSD1_HUMAN
ENSP00000020926	SYT13_HUMAN
ENSP00000020945	SNAI2_HUMAN
ENSP00000023064	BAT1_HUMAN
ENSP00000023897	GBRA1_HUMAN
ENSP00000023939	RTF2_HUMAN
ENSP00000024061	S45A4_HUMAN
ENSP00000025008	RBCC1_HUMAN
ENSP00000025301	AKA11_HUMAN
ENSP00000026218	PIGQ_HUMAN
ENSP00000027335	CAD17_HUMAN
ENSP00000028008	J3QQ64_HUMAN
ENSP00000029410	B4GT7_HUMAN
ENSP00000031135	B0AZU3_HUMAN
ENSP00000033079	FA13B_HUMAN
ENSP00000035307	CHPF2_HUMAN
ENSP00000035383	LRRC7_HUMAN
ENSP00000037243	GBRL2_HUMAN
ENSP00000037502	MYOC_HUMAN
ENSP00000037869	F136A_HUMAN
ENSP00000039007	OTC_HUMAN
ENSP00000039989	TTC17_HUMAN
ENSP00000040584	HXC8_HUMAN
ENSP00000040663	MTNA_HUMAN
ENSP00000040738	BD1L1_HUMAN
ENSP00000040877	TARB1_HUMAN
ENSP00000042381	FA65A_HUMAN
ENSP00000042931	BEST2_HUMAN
ENSP00000043402	RTN4R_HUMAN
ENSP00000044462	PSA4_HUMAN
ENSP00000045083	FA65C_HUMAN
ENSP00000046087	ZPBP1_HUMAN
ENSP00000046794	LCP2_HUMAN
ENSP00000052754	PGS2_HUMAN
ENSP00000053243	TNR17_HUMAN
ENSP00000053468	RT10_HUMAN
ENSP00000053469	GUC1A_HUMAN
ENSP00000053867	GRN_HUMAN
ENSP00000054666	VAMP3_HUMAN
ENSP00000054668	UTS2_HUMAN
ENSP00000054950	RCN1_HUMAN
ENSP00000055077	RFC2_HUMAN
ENSP00000055335	PPR3F_HUMAN
ENSP00000055682	K2022_HUMAN
ENSP00000056217	ARHG5_HUMAN
ENSP00000056233	NF2L3_HUMAN
ENSP00000057513	TNIP3_HUMAN
ENSP00000061240	TLL1_HUMAN
ENSP00000062104	NNAT_HUMAN
ENSP00000064571	CBLN4_HUMAN
ENSP00000064724	CLD11_HUMAN
ENSP00000064780	TR19L_HUMAN
ENSP00000070846	PKP2_HUMAN
ENSP00000072516	IL1AP_HUMAN
ENSP00000072644	YIPF1_HUMAN
ENSP00000072869	ADCK2_HUMAN
ENSP00000074304	INP4A_HUMAN
ENSP00000075120	GTR3_HUMAN
ENSP00000075503	STYK1_HUMAN
ENSP00000078429	GNA11_HUMAN
ENSP00000078445	CR3L3_HUMAN
ENSP00000078527	PIGV_HUMAN
ENSP00000080059	HDAC7_HUMAN
ENSP00000081029	RT35_HUMAN
ENSP00000083182	APBP2_HUMAN
ENSP00000084795	J3QQ67_HUMAN
ENSP00000084798	CAH11_HUMAN
ENSP00000085068	ISOC2_HUMAN
ENSP00000085219	CD22_HUMAN
ENSP00000086933	GSC2_HUMAN
ENSP00000155093	ZFY_HUMAN
ENSP00000155840	KCNQ1_HUMAN
ENSP00000155858	TRPM5_HUMAN
ENSP00000155926	TRIB2_HUMAN
ENSP00000156084	OTUD5_HUMAN
ENSP00000156109	GPKOW_HUMAN
ENSP00000156471	AQR_HUMAN
ENSP00000156499	KLK14_HUMAN
ENSP00000156626	SIA7A_HUMAN
ENSP00000156825	MBD3_HUMAN
ENSP00000157600	LMCD1_HUMAN
ENSP00000157812	PRS6B_HUMAN
ENSP00000158009	FNDC8_HUMAN
ENSP00000158166	KKCC1_HUMAN
ENSP00000158762	ACAP1_HUMAN
ENSP00000158771	DERL2_HUMAN
ENSP00000159060	NOX3_HUMAN
ENSP00000159087	ANO8_HUMAN
ENSP00000159111	KDM4B_HUMAN
ENSP00000160262	ICAM3_HUMAN
ENSP00000160373	CTTB2_HUMAN
ENSP00000160382	ACL6B_HUMAN
ENSP00000160827	KIF22_HUMAN
ENSP00000161006	BSSP4_HUMAN
ENSP00000161559	CEAM1_HUMAN
ENSP00000161863	YTDC2_HUMAN
ENSP00000162044	T161A_HUMAN
ENSP00000162330	BCAR1_HUMAN
ENSP00000162391	FOXJ2_HUMAN
ENSP00000162749	TNR1A_HUMAN
ENSP00000163416	GOGA5_HUMAN
ENSP00000164024	CELR3_HUMAN
ENSP00000164133	2A5B_HUMAN
ENSP00000164139	PYGM_HUMAN
ENSP00000164227	BCL3_HUMAN
ENSP00000164247	KCAB2_HUMAN
ENSP00000164305	PIGB_HUMAN
ENSP00000164640	PDZD4_HUMAN
ENSP00000165524	PRRP_HUMAN
ENSP00000165698	REEP1_HUMAN
ENSP00000166139	FSTL3_HUMAN
ENSP00000166244	EPHA8_HUMAN
ENSP00000166345	PCH2_HUMAN
ENSP00000166534	P4HA2_HUMAN
ENSP00000167106	VASH1_HUMAN
ENSP00000167218	J3QK82_HUMAN
ENSP00000167586	K1C14_HUMAN
ENSP00000167588	K1C20_HUMAN
ENSP00000168148	SPP24_HUMAN
ENSP00000168216	HCD2_HUMAN
ENSP00000168712	FGF4_HUMAN
ENSP00000168977	NRK2_HUMAN
ENSP00000169298	SIAT1_HUMAN
ENSP00000169551	TIM21_HUMAN
ENSP00000169565	CCG5_HUMAN
ENSP00000170150	BPIB2_HUMAN
ENSP00000170168	REXO1_HUMAN
ENSP00000170447	MKRN2_HUMAN
ENSP00000170564	GPTC1_HUMAN
ENSP00000170630	IL4RA_HUMAN
ENSP00000171111	KEAP1_HUMAN
ENSP00000171214	RDH8_HUMAN
ENSP00000171757	P2Y10_HUMAN
ENSP00000171887	TENS1_HUMAN
ENSP00000172229	TNR16_HUMAN
ENSP00000173229	NET1_HUMAN
ENSP00000173527	ISOC1_HUMAN
ENSP00000173898	TROP_HUMAN
ENSP00000174618	MNT_HUMAN
ENSP00000174621	J3QK85_HUMAN
ENSP00000174653	AP3M2_HUMAN
ENSP00000175091	LAP4A_HUMAN
ENSP00000175238	ADAM7_HUMAN
ENSP00000175506	ASNS_HUMAN
ENSP00000175756	PTN18_HUMAN
ENSP00000176183	DRD4_HUMAN
ENSP00000176195	SECR_HUMAN
ENSP00000176763	STK10_HUMAN
ENSP00000177648	ALPK1_HUMAN
ENSP00000177694	TBX21_HUMAN
ENSP00000178638	CAH12_HUMAN
ENSP00000178640	MP2K5_HUMAN
ENSP00000179259	TIGAR_HUMAN
ENSP00000180166	FGF20_HUMAN
ENSP00000180173	MTMR7_HUMAN
ENSP00000181383	CBPB2_HUMAN
ENSP00000181796	F107B_HUMAN
ENSP00000181839	CDK13_HUMAN
ENSP00000182096	CRBG3_HUMAN
ENSP00000182290	TSN32_HUMAN
ENSP00000182377	FACR2_HUMAN
ENSP00000182527	TRAM2_HUMAN
ENSP00000183605	CLD18_HUMAN
ENSP00000184183	ROP1A_HUMAN
ENSP00000184266	NDUB4_HUMAN
ENSP00000184956	HEAT6_HUMAN
ENSP00000185150	ERLEC_HUMAN
ENSP00000185206	CLIC5_HUMAN
ENSP00000185907	B7Z261_HUMAN
ENSP00000186436	TM131_HUMAN
ENSP00000187397	ARP21_HUMAN
ENSP00000187762	TM38A_HUMAN
ENSP00000188312	ARP6_HUMAN
ENSP00000188790	SEPR_HUMAN
ENSP00000189444	NFKB2_HUMAN
ENSP00000190165	DMRT3_HUMAN
ENSP00000190983	WISP2_HUMAN
ENSP00000192314	G3ST2_HUMAN
ENSP00000192788	URFB1_HUMAN
ENSP00000193322	OSTM1_HUMAN
ENSP00000193391	IMPG2_HUMAN
ENSP00000194118	DELE_HUMAN
ENSP00000194130	S13A1_HUMAN
ENSP00000194152	PCDB4_HUMAN
ENSP00000194155	PCDB2_HUMAN
ENSP00000194214	IFT25_HUMAN
ENSP00000194530	STRAB_HUMAN
ENSP00000194672	H7BXC5_HUMAN
ENSP00000194871	G8JL86_HUMAN
ENSP00000195455	CD006_HUMAN
ENSP00000195649	E9PDG8_HUMAN
ENSP00000195654	DOP1_HUMAN
ENSP00000196061	PLOD1_HUMAN
ENSP00000196169	TDRD3_HUMAN
ENSP00000196371	SCOT1_HUMAN
ENSP00000196482	Z324A_HUMAN
ENSP00000196489	ZN416_HUMAN
ENSP00000196551	RS5_HUMAN
ENSP00000197268	K1467_HUMAN
ENSP00000198536	PILRA_HUMAN
ENSP00000198765	CPNE3_HUMAN
ENSP00000198767	RRN3_HUMAN
ENSP00000198801	MOGT2_HUMAN
ENSP00000198939	J3QK89_HUMAN
ENSP00000199280	AQP2_HUMAN
ENSP00000199320	DIM1_HUMAN
ENSP00000199389	E2AK1_HUMAN
ENSP00000199447	TXND3_HUMAN
ENSP00000199448	EPDR1_HUMAN
ENSP00000199706	RM28_HUMAN
ENSP00000199708	HBAT_HUMAN
ENSP00000199764	CEAM6_HUMAN
ENSP00000199814	RBM22_HUMAN
ENSP00000199936	DHB2_HUMAN
ENSP00000200135	ZW10_HUMAN
ENSP00000200181	ITB4_HUMAN
ENSP00000200307	Q7Z7Q8_HUMAN
ENSP00000200453	PR15A_HUMAN
ENSP00000200457	TRIP6_HUMAN
ENSP00000200557	ADA11_HUMAN
ENSP00000200652	S22A4_HUMAN
ENSP00000200676	CETP_HUMAN
ENSP00000200691	MT3_HUMAN
ENSP00000201031	AP2C_HUMAN
ENSP00000201586	ST2B1_HUMAN
ENSP00000201647	ES8L1_HUMAN
ENSP00000201979	REM1_HUMAN
ENSP00000202017	PDRG1_HUMAN
ENSP00000202556	ASPP1_HUMAN
ENSP00000202625	TGM3L_HUMAN
ENSP00000202677	RGPA2_HUMAN
ENSP00000202773	RL6_HUMAN
ENSP00000202816	ESF1_HUMAN
ENSP00000202831	NCKX6_HUMAN
ENSP00000202967	SIR4_HUMAN
ENSP00000203001	TRM6_HUMAN
ENSP00000203407	QCR1_HUMAN
ENSP00000203556	GMIP_HUMAN
ENSP00000203629	LAG3_HUMAN
ENSP00000203630	MLF2_HUMAN
ENSP00000203664	OTUB2_HUMAN
ENSP00000203786	RHG04_HUMAN
ENSP00000204517	TFAP4_HUMAN
ENSP00000204549	PDCD7_HUMAN
ENSP00000204566	SPG21_HUMAN
ENSP00000204604	CHRD_HUMAN
ENSP00000204615	TPO_HUMAN
ENSP00000204679	GNPTG_HUMAN
ENSP00000204726	GOGA3_HUMAN
ENSP00000204961	EFNB1_HUMAN
ENSP00000205061	GSLG1_HUMAN
ENSP00000205143	DLL3_HUMAN
ENSP00000205194	NAT14_HUMAN
ENSP00000205214	ACSF4_HUMAN
ENSP00000205386	LAMB4_HUMAN
ENSP00000205402	DLDH_HUMAN
ENSP00000205557	MRP6_HUMAN
ENSP00000205636	CKLF6_HUMAN
ENSP00000205890	MYO15_HUMAN
ENSP00000205948	APOH_HUMAN
ENSP00000206020	SPAG7_HUMAN
ENSP00000206249	ESR1_HUMAN
ENSP00000206262	RGS17_HUMAN
ENSP00000206380	TM101_HUMAN
ENSP00000206423	CCD80_HUMAN
ENSP00000206474	HAUS4_HUMAN
ENSP00000206513	CEBPE_HUMAN
ENSP00000206542	OSGEP_HUMAN
ENSP00000206544	S22AH_HUMAN
ENSP00000206595	G2E3_HUMAN
ENSP00000206765	TGM1_HUMAN
ENSP00000207157	TBX15_HUMAN
ENSP00000207437	MYL6B_HUMAN
ENSP00000207457	TEKT2_HUMAN
ENSP00000207549	UN13D_HUMAN
ENSP00000207870	XYLB_HUMAN
ENSP00000209540	OR1I1_HUMAN
ENSP00000209665	ADH7_HUMAN
ENSP00000209668	ADH1A_HUMAN
ENSP00000209718	K1C23_HUMAN
ENSP00000209728	CDC6_HUMAN
ENSP00000209873	AAAS_HUMAN
ENSP00000209875	CBX5_HUMAN
ENSP00000209884	KLH20_HUMAN
ENSP00000209929	FMO2_HUMAN
ENSP00000210060	DHYS_HUMAN
ENSP00000210187	RAB26_HUMAN
ENSP00000210313	PSMD5_HUMAN
ENSP00000210444	SIAS_HUMAN
ENSP00000210633	SEM4G_HUMAN
ENSP00000211076	TRYD_HUMAN
ENSP00000211122	GSTA3_HUMAN
ENSP00000211287	MK13_HUMAN
ENSP00000211314	TM14A_HUMAN
ENSP00000211372	RS18_HUMAN
ENSP00000211402	SYVC_HUMAN
ENSP00000211413	PRRT1_HUMAN
ENSP00000211936	ZN184_HUMAN
ENSP00000211998	VINC_HUMAN
ENSP00000212015	SIR1_HUMAN
ENSP00000212355	TGBR3_HUMAN
ENSP00000214869	TMED1_HUMAN
ENSP00000215057	MZF1_HUMAN
ENSP00000215061	OCEL1_HUMAN
ENSP00000215071	PSMD8_HUMAN
ENSP00000215095	STX1B_HUMAN
ENSP00000215115	BCL7C_HUMAN
ENSP00000215368	EFNA2_HUMAN
ENSP00000215375	ATPD_HUMAN
ENSP00000215376	DOS_HUMAN
ENSP00000215479	AMELY_HUMAN
ENSP00000215530	FGF22_HUMAN
ENSP00000215531	CS077_HUMAN
ENSP00000215539	ALS_HUMAN
ENSP00000215555	MARH2_HUMAN
ENSP00000215565	NDUB7_HUMAN
ENSP00000215567	TECR_HUMAN
ENSP00000215570	TIM13_HUMAN
ENSP00000215574	UB2R1_HUMAN
ENSP00000215582	MISP_HUMAN
ENSP00000215587	RPAB1_HUMAN
ENSP00000215631	GA45B_HUMAN
ENSP00000215637	MADCA_HUMAN
ENSP00000215659	MK12_HUMAN
ENSP00000215727	HEP2_HUMAN
ENSP00000215730	SNP29_HUMAN
ENSP00000215739	LZTR1_HUMAN
ENSP00000215742	THAP7_HUMAN
ENSP00000215743	MMP11_HUMAN
ENSP00000215754	MIF_HUMAN
ENSP00000215770	DDTL_HUMAN
ENSP00000215773	DOPD_HUMAN
ENSP00000215780	GST2_HUMAN
ENSP00000215781	ONCM_HUMAN
ENSP00000215790	TB10A_HUMAN
ENSP00000215793	SF3A1_HUMAN
ENSP00000215794	UBP18_HUMAN
ENSP00000215812	S14L3_HUMAN
ENSP00000215829	SMD3_HUMAN
ENSP00000215832	MK01_HUMAN
ENSP00000215838	TCO2_HUMAN
ENSP00000215855	CRBB3_HUMAN
ENSP00000215862	MORC2_HUMAN
ENSP00000215882	TXTP_HUMAN
ENSP00000215885	PA2G3_HUMAN
ENSP00000215886	LEG2_HUMAN
ENSP00000215904	PLPP_HUMAN
ENSP00000215906	ASPH2_HUMAN
ENSP00000215909	LEG1_HUMAN
ENSP00000215912	P3IP1_HUMAN
ENSP00000215917	SRR1L_HUMAN
ENSP00000215939	CRBB1_HUMAN
ENSP00000215941	ANR54_HUMAN
ENSP00000215956	NH2L1_HUMAN
ENSP00000215957	MILK1_HUMAN
ENSP00000215980	CENPM_HUMAN
ENSP00000216024	DMC1_HUMAN
ENSP00000216027	HSC20_HUMAN
ENSP00000216029	CBY1_HUMAN
ENSP00000216034	TOM22_HUMAN
ENSP00000216036	RTDR1_HUMAN
ENSP00000216037	XBP1_HUMAN
ENSP00000216038	RTCB_HUMAN
ENSP00000216039	JOS1_HUMAN
ENSP00000216044	GTPB1_HUMAN
ENSP00000216064	SUN2_HUMAN
ENSP00000216068	DNAL4_HUMAN
ENSP00000216071	CV031_HUMAN
ENSP00000216075	MIOX_HUMAN
ENSP00000216080	LMF2_HUMAN
ENSP00000216085	RHBD3_HUMAN
ENSP00000216099	ABC3D_HUMAN
ENSP00000216101	RSLAA_HUMAN
ENSP00000216106	HMGX4_HUMAN
ENSP00000216115	BIK_HUMAN
ENSP00000216117	HMOX1_HUMAN
ENSP00000216121	NIPS1_HUMAN
ENSP00000216122	MCM5_HUMAN
ENSP00000216124	ARSA_HUMAN
ENSP00000216127	RHES_HUMAN
ENSP00000216129	TTL12_HUMAN
ENSP00000216133	CBX7_HUMAN
ENSP00000216139	ACRO_HUMAN
ENSP00000216144	CABP7_HUMAN
ENSP00000216160	TAB1_HUMAN
ENSP00000216177	PLPL5_HUMAN
ENSP00000216180	PLPL3_HUMAN
ENSP00000216181	MYH9_HUMAN
ENSP00000216185	THIOM_HUMAN
ENSP00000216187	FXRD2_HUMAN
ENSP00000216190	EIF3D_HUMAN
ENSP00000216194	PUR8_HUMAN
ENSP00000216200	PRVA_HUMAN
ENSP00000216211	UPK3A_HUMAN
ENSP00000216214	F118A_HUMAN
ENSP00000216218	F10A1_HUMAN
ENSP00000216223	IL2RB_HUMAN
ENSP00000216225	RBX1_HUMAN
ENSP00000216237	LMBL2_HUMAN
ENSP00000216241	CHADL_HUMAN
ENSP00000216252	PHF5A_HUMAN
ENSP00000216254	ACON_HUMAN
ENSP00000216259	PMM1_HUMAN
ENSP00000216264	CERK1_HUMAN
ENSP00000216267	BRD1_HUMAN
ENSP00000216268	ZBED4_HUMAN
ENSP00000216271	HDA10_HUMAN
ENSP00000216274	RIPK3_HUMAN
ENSP00000216277	PAPOA_HUMAN
ENSP00000216286	NID2_HUMAN
ENSP00000216294	SNPC1_HUMAN
ENSP00000216297	SP16H_HUMAN
ENSP00000216327	J3KMW0_HUMAN
ENSP00000216330	FKBP3_HUMAN
ENSP00000216336	CATG_HUMAN
ENSP00000216338	GRAH_HUMAN
ENSP00000216341	GRAB_HUMAN
ENSP00000216361	COCH_HUMAN
ENSP00000216366	AP4S1_HUMAN
ENSP00000216367	DPOE2_HUMAN
ENSP00000216373	SOS2_HUMAN
ENSP00000216378	J3KMW1_HUMAN
ENSP00000216392	PYGL_HUMAN
ENSP00000216410	GNA1_HUMAN
ENSP00000216416	CNIH1_HUMAN
ENSP00000216420	CGRF1_HUMAN
ENSP00000216442	VATD_HUMAN
ENSP00000216445	CN105_HUMAN
ENSP00000216446	PLEK2_HUMAN
ENSP00000216452	PIGH_HUMAN
ENSP00000216455	PSA3_HUMAN
ENSP00000216456	J3KMW2_HUMAN
ENSP00000216465	MAAI_HUMAN
ENSP00000216468	TMED8_HUMAN
ENSP00000216471	SAM15_HUMAN
ENSP00000216479	AHSA1_HUMAN
ENSP00000216484	SPTC2_HUMAN
ENSP00000216487	RIN3_HUMAN
ENSP00000216489	ALKB1_HUMAN
ENSP00000216492	CMGA_HUMAN
ENSP00000216500	DHRS7_HUMAN
ENSP00000216513	SIX4_HUMAN
ENSP00000216540	NTCP_HUMAN
ENSP00000216554	IF5_HUMAN
ENSP00000216605	C1TC_HUMAN
ENSP00000216629	BKRB1_HUMAN
ENSP00000216639	VRK1_HUMAN
ENSP00000216714	APEX1_HUMAN
ENSP00000216727	PABP2_HUMAN
ENSP00000216733	EFS_HUMAN
ENSP00000216756	CINP_HUMAN
ENSP00000216774	SRP54_HUMAN
ENSP00000216775	CPNE6_HUMAN
ENSP00000216780	PCKGM_HUMAN
ENSP00000216797	IKBA_HUMAN
ENSP00000216799	EMC9_HUMAN
ENSP00000216802	PSME2_HUMAN
ENSP00000216807	BRM1L_HUMAN
ENSP00000216832	PININ_HUMAN
ENSP00000216840	PGTA_HUMAN
ENSP00000216862	CP24A_HUMAN
ENSP00000216879	NSF1C_HUMAN
ENSP00000216911	AURKA_HUMAN
ENSP00000216923	ZF64A_HUMAN
ENSP00000216951	GSHB_HUMAN
ENSP00000216962	PYGB_HUMAN
ENSP00000216968	EPCR_HUMAN
ENSP00000217026	MYBB_HUMAN
ENSP00000217043	CRSPL_HUMAN
ENSP00000217073	PAP1L_HUMAN
ENSP00000217086	SALL4_HUMAN
ENSP00000217109	CSTF1_HUMAN
ENSP00000217121	TPD54_HUMAN
ENSP00000217130	Z512B_HUMAN
ENSP00000217131	CATZ_HUMAN
ENSP00000217133	TBB1_HUMAN
ENSP00000217159	SO4A1_HUMAN
ENSP00000217169	BIRC7_HUMAN
ENSP00000217173	RNF37_HUMAN
ENSP00000217182	EF1A2_HUMAN
ENSP00000217185	PTK6_HUMAN
ENSP00000217188	SRMS_HUMAN
ENSP00000217195	CT027_HUMAN
ENSP00000217233	TRIB3_HUMAN
ENSP00000217244	CSK21_HUMAN
ENSP00000217246	MACD2_HUMAN
ENSP00000217254	S52A3_HUMAN
ENSP00000217260	RSPO4_HUMAN
ENSP00000217270	PKR2_HUMAN
ENSP00000217289	FERM1_HUMAN
ENSP00000217305	PDYN_HUMAN
ENSP00000217320	TLDC2_HUMAN
ENSP00000217372	CK5P1_HUMAN
ENSP00000217381	SNTA1_HUMAN
ENSP00000217386	NEU1_HUMAN
ENSP00000217402	CHM4B_HUMAN
ENSP00000217407	LBP_HUMAN
ENSP00000217420	VIAAT_HUMAN
ENSP00000217423	CYTS_HUMAN
ENSP00000217426	SAHH_HUMAN
ENSP00000217428	SPIT3_HUMAN
ENSP00000217429	FA83D_HUMAN
ENSP00000217446	PIGU_HUMAN
ENSP00000217455	ACOT8_HUMAN
ENSP00000217456	APMAP_HUMAN
ENSP00000217515	TXNL1_HUMAN
ENSP00000217652	ML12A_HUMAN
ENSP00000217740	RN125_HUMAN
ENSP00000217893	TAF9_HUMAN
ENSP00000217901	IDH3G_HUMAN
ENSP00000217909	S2543_HUMAN
ENSP00000217939	MXRA5_HUMAN
ENSP00000217957	VSIG1_HUMAN
ENSP00000217958	PSD10_HUMAN
ENSP00000217961	STS_HUMAN
ENSP00000217964	TBL1X_HUMAN
ENSP00000217971	PGRC1_HUMAN
ENSP00000217999	RHXF1_HUMAN
ENSP00000218004	NXT2_HUMAN
ENSP00000218006	GUC2F_HUMAN
ENSP00000218008	AT1B4_HUMAN
ENSP00000218032	TLR8_HUMAN
ENSP00000218056	WDR13_HUMAN
ENSP00000218068	PAGE4_HUMAN
ENSP00000218075	GLRA2_HUMAN
ENSP00000218089	STAG2_HUMAN
ENSP00000218099	FA9_HUMAN
ENSP00000218104	ABCD1_HUMAN
ENSP00000218147	BCORL_HUMAN
ENSP00000218176	KCND1_HUMAN
ENSP00000218197	UCP5_HUMAN
ENSP00000218230	PCSK1_HUMAN
ENSP00000218249	RB40L_HUMAN
ENSP00000218316	MTR1L_HUMAN
ENSP00000218340	XRP2_HUMAN
ENSP00000218343	JADE3_HUMAN
ENSP00000218348	UBP11_HUMAN
ENSP00000218364	HTSF1_HUMAN
ENSP00000218388	TIMP1_HUMAN
ENSP00000218432	J3KMW3_HUMAN
ENSP00000218436	ITIH6_HUMAN
ENSP00000218439	MAGD2_HUMAN
ENSP00000218507	J3KMW4_HUMAN
ENSP00000218516	AGAL_HUMAN
ENSP00000218652	NFIP2_HUMAN
ENSP00000218721	MTLR_HUMAN
ENSP00000218758	PPA5_HUMAN
ENSP00000218867	SGCG_HUMAN
ENSP00000218894	SP20H_HUMAN
ENSP00000219022	OLFM4_HUMAN
ENSP00000219054	ACS2A_HUMAN
ENSP00000219066	NTHL1_HUMAN
ENSP00000219069	ZN263_HUMAN
ENSP00000219070	MMP2_HUMAN
ENSP00000219091	ZN205_HUMAN
ENSP00000219097	ORC6_HUMAN
ENSP00000219139	CP070_HUMAN
ENSP00000219150	COR1A_HUMAN
ENSP00000219162	MT4_HUMAN
ENSP00000219168	LYRM1_HUMAN
ENSP00000219169	NTF2_HUMAN
ENSP00000219172	CENPT_HUMAN
ENSP00000219197	CBLN1_HUMAN
ENSP00000219204	AR2BP_HUMAN
ENSP00000219207	PLLP_HUMAN
ENSP00000219235	CCL22_HUMAN
ENSP00000219240	PYRD_HUMAN
ENSP00000219244	CCL17_HUMAN
ENSP00000219252	RPB3_HUMAN
ENSP00000219255	PAR6A_HUMAN
ENSP00000219271	MMP15_HUMAN
ENSP00000219281	USB1_HUMAN
ENSP00000219299	CC113_HUMAN
ENSP00000219301	PRS54_HUMAN
ENSP00000219302	NDK3_HUMAN
ENSP00000219313	PSMD7_HUMAN
ENSP00000219320	S38A7_HUMAN
ENSP00000219334	NSMA2_HUMAN
ENSP00000219343	YLAT2_HUMAN
ENSP00000219345	PAG15_HUMAN
ENSP00000219368	FA2H_HUMAN
ENSP00000219400	COXM2_HUMAN
ENSP00000219406	PDIA2_HUMAN
ENSP00000219409	GDIR3_HUMAN
ENSP00000219431	3MG_HUMAN
ENSP00000219439	HSDL1_HUMAN
ENSP00000219454	WFDC1_HUMAN
ENSP00000219473	UBP10_HUMAN
ENSP00000219476	TSC2_HUMAN
ENSP00000219478	ZN500_HUMAN
ENSP00000219479	NDKM_HUMAN
ENSP00000219481	DECR2_HUMAN
ENSP00000219535	J3KMW5_HUMAN
ENSP00000219542	J3KMW6_HUMAN
ENSP00000219548	CHIP_HUMAN
ENSP00000219551	RHBL1_HUMAN
ENSP00000219593	ZP2_HUMAN
ENSP00000219596	MEFV_HUMAN
ENSP00000219599	CRYM_HUMAN
ENSP00000219611	CAN15_HUMAN
ENSP00000219660	AQP8_HUMAN
ENSP00000219689	UBP31_HUMAN
ENSP00000219700	HMOX2_HUMAN
ENSP00000219782	MAZ_HUMAN
ENSP00000219789	CDIPT_HUMAN
