Ensembl Protein ID	Ensembl Gene ID	HGNC symbol
ENSP00000042381	ENSG00000039523	FAM65A
ENSP00000042931	ENSG00000039987	BEST2
ENSP00000043402	ENSG00000040608	RTN4R
ENSP00000044462	ENSG00000041357	PSMA4
ENSP00000045083	ENSG00000042062	FAM65C
ENSP00000046087	ENSG00000042813	ZPBP
ENSP00000046794	ENSG00000043462	LCP2
ENSP00000052754	ENSG00000011465	DCN
ENSP00000053243	ENSG00000048462	TNFRSF17
ENSP00000053468	ENSG00000048544	MRPS10
ENSP00000053469	ENSG00000048545	GUCA1A
ENSP00000053867	ENSG00000030582	GRN
ENSP00000054666	ENSG00000049245	VAMP3
ENSP00000054668	ENSG00000049247	UTS2
ENSP00000054950	ENSG00000049449	RCN1
ENSP00000055077	ENSG00000049541	RFC2
ENSP00000055335	ENSG00000049769	PPP1R3F
ENSP00000055682	ENSG00000050030	KIAA2022
ENSP00000056217	ENSG00000050327	ARHGEF5
ENSP00000056233	ENSG00000050344	NFE2L3
ENSP00000057513	ENSG00000050730	TNIP3
ENSP00000058691	ENSG00000051620	HEBP2
ENSP00000061240	ENSG00000038295	TLL1
ENSP00000062104	ENSG00000053438	NNAT
ENSP00000064571	ENSG00000054803	CBLN4
ENSP00000064724	ENSG00000013297	CLDN11
ENSP00000064780	ENSG00000054967	RELT
ENSP00000070846	ENSG00000057294	PKP2
ENSP00000072516	ENSG00000196083	IL1RAP
ENSP00000072644	ENSG00000058799	YIPF1
ENSP00000072869	ENSG00000133597	ADCK2
ENSP00000074304	ENSG00000040933	INPP4A
ENSP00000075120	ENSG00000059804	SLC2A3
ENSP00000075503	ENSG00000060140	STYK1
ENSP00000078429	ENSG00000088256	GNA11
ENSP00000078445	ENSG00000060566	CREB3L3
ENSP00000078527	ENSG00000060642	PIGV
ENSP00000080059	ENSG00000061273	HDAC7
ENSP00000081029	ENSG00000061794	MRPS35
ENSP00000083182	ENSG00000062725	APPBP2
ENSP00000084795	ENSG00000063177	RPL18
ENSP00000084798	ENSG00000063180	CA11
ENSP00000085068	ENSG00000063241	ISOC2
ENSP00000085219	ENSG00000012124	CD22
ENSP00000086933	ENSG00000063515	GSC2
ENSP00000155093	ENSG00000067646	ZFY
ENSP00000155840	ENSG00000053918	KCNQ1
ENSP00000155858	ENSG00000070985	TRPM5
ENSP00000155926	ENSG00000071575	TRIB2
ENSP00000156084	ENSG00000068308	OTUD5
ENSP00000156109	ENSG00000068394	GPKOW
ENSP00000156471	ENSG00000021776	AQR
ENSP00000156476	ENSG00000167759	KLK13
ENSP00000156499	ENSG00000129437	KLK14
ENSP00000156626	ENSG00000070526	ST6GALNAC1
ENSP00000156825	ENSG00000071655	MBD3
ENSP00000157600	ENSG00000071282	LMCD1
ENSP00000157812	ENSG00000013275	PSMC4
ENSP00000158009	ENSG00000073598	FNDC8
ENSP00000158166	ENSG00000004660	CAMKK1
ENSP00000158762	ENSG00000072818	ACAP1
ENSP00000158771	ENSG00000072849	DERL2
ENSP00000159060	ENSG00000074771	NOX3
ENSP00000159087	ENSG00000074855	ANO8
ENSP00000159111	ENSG00000127663	KDM4B
ENSP00000160262	ENSG00000076662	ICAM3
ENSP00000160373	ENSG00000077063	CTTNBP2
ENSP00000160382	ENSG00000077080	ACTL6B
ENSP00000160740	ENSG00000079432	CIC
ENSP00000160827	ENSG00000079616	KIF22
ENSP00000161006	ENSG00000005001	PRSS22
ENSP00000161559	ENSG00000079385	CEACAM1
ENSP00000161863	ENSG00000047188	YTHDC2
ENSP00000162044	ENSG00000064545	TMEM161A
ENSP00000162330	ENSG00000050820	BCAR1
ENSP00000162391	ENSG00000065970	FOXJ2
ENSP00000162749	ENSG00000067182	TNFRSF1A
ENSP00000163416	ENSG00000066455	GOLGA5
ENSP00000164024	ENSG00000008300	CELSR3
ENSP00000164133	ENSG00000068971	PPP2R5B
ENSP00000164139	ENSG00000068976	PYGM
ENSP00000164227	ENSG00000069399	BCL3
ENSP00000164247	ENSG00000069424	KCNAB2
ENSP00000164305	ENSG00000069943	PIGB
ENSP00000164640	ENSG00000067840	PDZD4
ENSP00000165524	ENSG00000071677	PRLH
ENSP00000165698	ENSG00000068615	REEP1
ENSP00000166139	ENSG00000070404	FSTL3
ENSP00000166244	ENSG00000070886	EPHA8
ENSP00000166345	ENSG00000071539	TRIP13
ENSP00000166534	ENSG00000072682	P4HA2
ENSP00000167106	ENSG00000071246	VASH1
ENSP00000167218	ENSG00000071994	PDCD2
ENSP00000167586	ENSG00000186847	KRT14
ENSP00000167588	ENSG00000171431	KRT20
ENSP00000168148	ENSG00000072080	SPP2
ENSP00000168216	ENSG00000072506	HSD17B10
ENSP00000168712	ENSG00000075388	FGF4
ENSP00000168977	ENSG00000077009	ITGB1BP3
ENSP00000169298	ENSG00000073849	ST6GAL1
ENSP00000169551	ENSG00000075336	C18orf55
ENSP00000169565	ENSG00000075429	CACNG5
ENSP00000170150	ENSG00000078898	BPIFB2
ENSP00000170168	ENSG00000079313	REXO1
ENSP00000170447	ENSG00000075975	MKRN2
ENSP00000170564	ENSG00000076650	GPATCH1
ENSP00000170630	ENSG00000077238	IL4R
ENSP00000171111	ENSG00000079999	KEAP1
ENSP00000171214	ENSG00000080511	RDH8
ENSP00000171757	ENSG00000078589	P2RY10
ENSP00000171887	ENSG00000079308	TNS1
ENSP00000172229	ENSG00000064300	NGFR
ENSP00000173229	ENSG00000065320	NTN1
ENSP00000173527	ENSG00000066583	ISOC1
ENSP00000173898	ENSG00000067445	TRO
ENSP00000174618	ENSG00000070444	MNT
ENSP00000174621	ENSG00000196689	TRPV1
ENSP00000174653	ENSG00000070718	AP3M2
ENSP00000175091	ENSG00000068697	LAPTM4A
ENSP00000175238	ENSG00000069206	ADAM7
ENSP00000175506	ENSG00000070669	ASNS
ENSP00000175756	ENSG00000072135	PTPN18
ENSP00000176183	ENSG00000069696	DRD4
ENSP00000176195	ENSG00000070031	SCT
ENSP00000176763	ENSG00000072786	STK10
ENSP00000177648	ENSG00000073331	ALPK1
ENSP00000177694	ENSG00000073861	TBX21
ENSP00000178638	ENSG00000074410	CA12
ENSP00000178640	ENSG00000137764	MAP2K5
ENSP00000179259	ENSG00000078237	C12orf5
ENSP00000180166	ENSG00000078579	FGF20
ENSP00000180173	ENSG00000003987	MTMR7
ENSP00000181383	ENSG00000080618	CPB2
ENSP00000181796	ENSG00000065809	FAM107B
ENSP00000181839	ENSG00000065883	CDK13
ENSP00000182096	ENSG00000080200	CRYBG3
ENSP00000182290	ENSG00000064201	TSPAN32
ENSP00000182377	ENSG00000064763	FAR2
ENSP00000182527	ENSG00000065308	TRAM2
ENSP00000183605	ENSG00000066405	CLDN18
ENSP00000184183	ENSG00000065371	ROPN1
ENSP00000184266	ENSG00000065518	NDUFB4
ENSP00000184956	ENSG00000068097	HEATR6
ENSP00000185150	ENSG00000068912	ERLEC1
ENSP00000185206	ENSG00000112782	CLIC5
ENSP00000185907	ENSG00000204147	ASAH2B
ENSP00000186436	ENSG00000075568	TMEM131
ENSP00000187397	ENSG00000172995	ARPP21
ENSP00000187762	ENSG00000072954	TMEM38A
ENSP00000188312	ENSG00000075089	ACTR6
ENSP00000188790	ENSG00000078098	FAP
ENSP00000189444	ENSG00000077150	NFKB2
ENSP00000190165	ENSG00000064218	DMRT3
ENSP00000190983	ENSG00000064205	WISP2
ENSP00000192314	ENSG00000154252	GAL3ST2
ENSP00000192788	ENSG00000065060	UHRF1BP1
ENSP00000193322	ENSG00000081087	OSTM1
ENSP00000193391	ENSG00000081148	IMPG2
ENSP00000193422	ENSG00000081177	EXD2
ENSP00000194118	ENSG00000081791	KIAA0141
ENSP00000194130	ENSG00000081800	SLC13A1
ENSP00000194152	ENSG00000081818	PCDHB4
ENSP00000194155	ENSG00000112852	PCDHB2
ENSP00000194214	ENSG00000081870	HSPB11
ENSP00000194530	ENSG00000082146	STRADB
ENSP00000194672	ENSG00000082269	FAM135A
ENSP00000194871	ENSG00000082438	COBLL1
ENSP00000195455	ENSG00000082929	C4orf6
ENSP00000195649	ENSG00000065609	SNAP91
ENSP00000195654	ENSG00000083097	DOPEY1
ENSP00000196061	ENSG00000083444	PLOD1
ENSP00000196169	ENSG00000083544	TDRD3
ENSP00000196371	ENSG00000083720	OXCT1
ENSP00000196482	ENSG00000083812	ZNF324
ENSP00000196489	ENSG00000083817	ZNF416
ENSP00000196548	ENSG00000083842	ZNF8
ENSP00000196551	ENSG00000083845	RPS5
ENSP00000197268	ENSG00000084444	KIAA1467
ENSP00000198536	ENSG00000085514	PILRA
ENSP00000198765	ENSG00000085719	CPNE3
ENSP00000198767	ENSG00000085721	RRN3
ENSP00000198801	ENSG00000166391	MOGAT2
ENSP00000198939	ENSG00000085872	CHERP
ENSP00000199280	ENSG00000167580	AQP2
ENSP00000199320	ENSG00000086189	DIMT1
ENSP00000199389	ENSG00000086232	EIF2AK1
ENSP00000199447	ENSG00000086288	TXNDC3
ENSP00000199448	ENSG00000086289	EPDR1
ENSP00000199706	ENSG00000086504	MRPL28
ENSP00000199708	ENSG00000086506	HBQ1
ENSP00000199764	ENSG00000086548	CEACAM6
ENSP00000199814	ENSG00000086589	RBM22
ENSP00000199936	ENSG00000086696	HSD17B2
ENSP00000200135	ENSG00000086827	ZW10
ENSP00000200181	ENSG00000132470	ITGB4
ENSP00000200307	ENSG00000108688	CCL7
ENSP00000200453	ENSG00000087074	PPP1R15A
ENSP00000200457	ENSG00000087077	TRIP6
ENSP00000200557	ENSG00000073670	ADAM11
ENSP00000200652	ENSG00000197208	SLC22A4
ENSP00000200676	ENSG00000087237	CETP
ENSP00000200691	ENSG00000087250	MT3
ENSP00000201031	ENSG00000087510	TFAP2C
ENSP00000201586	ENSG00000088002	SULT2B1
ENSP00000201647	ENSG00000131037	EPS8L1
ENSP00000201979	ENSG00000088320	REM1
ENSP00000202017	ENSG00000088356	PDRG1
ENSP00000202556	ENSG00000088808	PPP1R13B
ENSP00000202625	ENSG00000166948	TGM6
ENSP00000202677	ENSG00000188559	RALGAPA2
ENSP00000202773	ENSG00000089009	RPL6
ENSP00000202788	ENSG00000089022	MAPKAPK5
ENSP00000202816	ENSG00000089048	ESF1
ENSP00000202831	ENSG00000089060	SLC24A6
ENSP00000202967	ENSG00000089163	SIRT4
ENSP00000203001	ENSG00000089195	TRMT6
ENSP00000203407	ENSG00000010256	UQCRC1
ENSP00000203556	ENSG00000089639	GMIP
ENSP00000203629	ENSG00000089692	LAG3
ENSP00000203630	ENSG00000089693	MLF2
ENSP00000203664	ENSG00000089723	OTUB2
ENSP00000203786	ENSG00000089820	ARHGAP4
ENSP00000204517	ENSG00000090447	TFAP4
ENSP00000204549	ENSG00000090470	PDCD7
ENSP00000204566	ENSG00000090487	SPG21
ENSP00000204604	ENSG00000090539	CHRD
ENSP00000204615	ENSG00000090534	THPO
ENSP00000204637	ENSG00000090554	FLT3LG
ENSP00000204679	ENSG00000090581	GNPTG
ENSP00000204726	ENSG00000090615	GOLGA3
ENSP00000204961	ENSG00000090776	EFNB1
ENSP00000205061	ENSG00000090863	GLG1
ENSP00000205143	ENSG00000090932	DLL3
ENSP00000205194	ENSG00000090971	NAT14
ENSP00000205214	ENSG00000157426	AASDH
ENSP00000205386	ENSG00000091128	LAMB4
ENSP00000205402	ENSG00000091140	DLD
ENSP00000205557	ENSG00000091262	ABCC6
ENSP00000205636	ENSG00000091317	CMTM6
ENSP00000205890	ENSG00000091536	MYO15A
ENSP00000205948	ENSG00000091583	APOH
ENSP00000206020	ENSG00000091640	SPAG7
ENSP00000206249	ENSG00000091831	ESR1
ENSP00000206262	ENSG00000091844	RGS17
ENSP00000206380	ENSG00000091947	TMEM101
ENSP00000206423	ENSG00000091986	CCDC80
ENSP00000206474	ENSG00000092036	HAUS4
ENSP00000206513	ENSG00000092067	CEBPE
ENSP00000206542	ENSG00000092094	OSGEP
ENSP00000206544	ENSG00000092096	SLC22A17
ENSP00000206595	ENSG00000092140	G2E3
ENSP00000206765	ENSG00000092295	TGM1
ENSP00000207157	ENSG00000092607	TBX15
ENSP00000207437	ENSG00000196465	MYL6B
ENSP00000207457	ENSG00000092850	TEKT2
ENSP00000207549	ENSG00000092929	UNC13D
ENSP00000207870	ENSG00000093217	XYLB
ENSP00000209540	ENSG00000094661	OR1I1
ENSP00000209665	ENSG00000196344	ADH7
ENSP00000209668	ENSG00000187758	ADH1A
ENSP00000209718	ENSG00000108244	KRT23
ENSP00000209728	ENSG00000094804	CDC6
ENSP00000209873	ENSG00000094914	AAAS
ENSP00000209875	ENSG00000094916	CBX5
ENSP00000209884	ENSG00000076321	KLHL20
ENSP00000209929	ENSG00000094963	FMO2
ENSP00000210060	ENSG00000095059	DHPS
ENSP00000210187	ENSG00000167964	RAB26
ENSP00000210313	ENSG00000095261	PSMD5
ENSP00000210444	ENSG00000095380	NANS
ENSP00000210633	ENSG00000095539	SEMA4G
ENSP00000211076	ENSG00000095917	TPSD1
ENSP00000211122	ENSG00000174156	GSTA3
ENSP00000211287	ENSG00000156711	MAPK13
ENSP00000211314	ENSG00000096092	TMEM14A
ENSP00000211372	ENSG00000096150	RPS18
ENSP00000211402	ENSG00000096171	VARS
ENSP00000211413	ENSG00000204314	PRRT1
ENSP00000211936	ENSG00000096654	ZNF184
ENSP00000211998	ENSG00000035403	VCL
ENSP00000212015	ENSG00000096717	SIRT1
ENSP00000212355	ENSG00000069702	TGFBR3
ENSP00000212369	ENSG00000097033	SH3GLB1
ENSP00000214869	ENSG00000099203	TMED1
ENSP00000215057	ENSG00000099326	MZF1
ENSP00000215061	ENSG00000099330	OCEL1
ENSP00000215071	ENSG00000099341	PSMD8
ENSP00000215095	ENSG00000099365	STX1B
ENSP00000215115	ENSG00000099385	BCL7C
ENSP00000215368	ENSG00000099617	EFNA2
ENSP00000215375	ENSG00000099624	ATP5D
ENSP00000215376	ENSG00000099625	C19orf26
ENSP00000215479	ENSG00000099721	AMELY
ENSP00000215530	ENSG00000070388	FGF22
ENSP00000215531	ENSG00000095932	C19orf77
ENSP00000215539	ENSG00000099769	IGFALS
ENSP00000215555	ENSG00000099785	MARCH2
ENSP00000215565	ENSG00000099795	NDUFB7
ENSP00000215567	ENSG00000099797	TECR
ENSP00000215570	ENSG00000099800	TIMM13
ENSP00000215574	ENSG00000099804	CDC34
ENSP00000215582	ENSG00000099812	C19orf21
ENSP00000215587	ENSG00000099817	POLR2E
ENSP00000215591	ENSG00000099821	POLRMT
ENSP00000215631	ENSG00000099860	GADD45B
ENSP00000215637	ENSG00000099866	MADCAM1
ENSP00000215659	ENSG00000188130	MAPK12
ENSP00000215727	ENSG00000099937	SERPIND1
ENSP00000215730	ENSG00000099940	SNAP29
ENSP00000215739	ENSG00000099949	LZTR1
ENSP00000215742	ENSG00000184436	THAP7
ENSP00000215743	ENSG00000099953	MMP11
ENSP00000215754	ENSG00000240972	MIF
ENSP00000215770	ENSG00000099974	DDTL
ENSP00000215773	ENSG00000099977	DDT
ENSP00000215780	ENSG00000099984	GSTT2
ENSP00000215781	ENSG00000099985	OSM
ENSP00000215790	ENSG00000099992	TBC1D10A
ENSP00000215793	ENSG00000099995	SF3A1
ENSP00000215794	ENSG00000184979	USP18
ENSP00000215812	ENSG00000100012	SEC14L3
ENSP00000215829	ENSG00000100028	SNRPD3
ENSP00000215832	ENSG00000100030	MAPK1
ENSP00000215838	ENSG00000185339	TCN2
ENSP00000215855	ENSG00000100053	CRYBB3
ENSP00000215862	ENSG00000133422	MORC2
ENSP00000215882	ENSG00000100075	SLC25A1
ENSP00000215885	ENSG00000100078	PLA2G3
ENSP00000215886	ENSG00000100079	LGALS2
ENSP00000215904	ENSG00000241360	PDXP
ENSP00000215906	ENSG00000128203	ASPHD2
ENSP00000215909	ENSG00000100097	LGALS1
ENSP00000215912	ENSG00000100100	PIK3IP1
ENSP00000215917	ENSG00000100104	SRRD
ENSP00000215939	ENSG00000100122	CRYBB1
ENSP00000215941	ENSG00000100124	ANKRD54
ENSP00000215956	ENSG00000100138	NHP2L1
ENSP00000215957	ENSG00000100139	MICALL1
ENSP00000215980	ENSG00000100162	CENPM
ENSP00000216024	ENSG00000100206	DMC1
ENSP00000216027	ENSG00000100209	HSCB
ENSP00000216029	ENSG00000100211	CBY1
ENSP00000216034	ENSG00000100216	TOMM22
ENSP00000216036	ENSG00000100218	RTDR1
ENSP00000216037	ENSG00000100219	XBP1
ENSP00000216038	ENSG00000100220	C22orf28
ENSP00000216039	ENSG00000100221	JOSD1
ENSP00000216044	ENSG00000100226	GTPBP1
ENSP00000216064	ENSG00000100242	SUN2
ENSP00000216068	ENSG00000100246	DNAL4
ENSP00000216071	ENSG00000100249	C22orf31
ENSP00000216075	ENSG00000100253	MIOX
ENSP00000216080	ENSG00000100258	LMF2
ENSP00000216085	ENSG00000100263	RHBDD3
ENSP00000216099	ENSG00000243811	APOBEC3D
ENSP00000216101	ENSG00000100276	RASL10A
ENSP00000216106	ENSG00000100281	HMGXB4
ENSP00000216115	ENSG00000100290	BIK
ENSP00000216117	ENSG00000100292	HMOX1
ENSP00000216121	ENSG00000184117	NIPSNAP1
ENSP00000216122	ENSG00000100297	MCM5
ENSP00000216124	ENSG00000100299	ARSA
ENSP00000216127	ENSG00000100302	RASD2
ENSP00000216129	ENSG00000100304	TTLL12
ENSP00000216133	ENSG00000100307	CBX7
ENSP00000216139	ENSG00000100312	ACR
ENSP00000216144	ENSG00000100314	CABP7
ENSP00000216160	ENSG00000100324	TAB1
ENSP00000216177	ENSG00000100341	PNPLA5
ENSP00000216180	ENSG00000100344	PNPLA3
ENSP00000216181	ENSG00000100345	MYH9
ENSP00000216185	ENSG00000100348	TXN2
ENSP00000216187	ENSG00000100350	FOXRED2
ENSP00000216190	ENSG00000100353	EIF3D
ENSP00000216194	ENSG00000239900	ADSL
ENSP00000216200	ENSG00000100362	PVALB
ENSP00000216211	ENSG00000100373	UPK3A
ENSP00000216214	ENSG00000100376	FAM118A
ENSP00000216218	ENSG00000100380	ST13
ENSP00000216223	ENSG00000100385	IL2RB
ENSP00000216225	ENSG00000100387	RBX1
ENSP00000216237	ENSG00000100395	L3MBTL2
ENSP00000216241	ENSG00000100399	CHADL
ENSP00000216252	ENSG00000100410	PHF5A
ENSP00000216254	ENSG00000100412	ACO2
ENSP00000216259	ENSG00000100417	PMM1
ENSP00000216264	ENSG00000100422	CERK
ENSP00000216267	ENSG00000100425	BRD1
ENSP00000216268	ENSG00000100426	ZBED4
ENSP00000216271	ENSG00000100429	HDAC10
ENSP00000216274	ENSG00000129465	RIPK3
ENSP00000216277	ENSG00000090060	PAPOLA
ENSP00000216286	ENSG00000087303	NID2
ENSP00000216294	ENSG00000023608	SNAPC1
ENSP00000216297	ENSG00000092201	SUPT16H
ENSP00000216327	ENSG00000100439	ABHD4
ENSP00000216330	ENSG00000100442	FKBP3
ENSP00000216336	ENSG00000100448	CTSG
ENSP00000216338	ENSG00000100450	GZMH
ENSP00000216341	ENSG00000100453	GZMB
ENSP00000216361	ENSG00000100473	COCH
ENSP00000216366	ENSG00000100478	AP4S1
ENSP00000216367	ENSG00000100479	POLE2
ENSP00000216373	ENSG00000100485	SOS2
ENSP00000216378	ENSG00000100490	CDKL1
ENSP00000216392	ENSG00000100504	PYGL
ENSP00000216410	ENSG00000100522	GNPNAT1
ENSP00000216416	ENSG00000100528	CNIH
ENSP00000216420	ENSG00000100532	CGRRF1
ENSP00000216442	ENSG00000100554	ATP6V1D
ENSP00000216445	ENSG00000100557	C14orf105
ENSP00000216446	ENSG00000100558	PLEK2
ENSP00000216452	ENSG00000100564	PIGH
ENSP00000216455	ENSG00000100567	PSMA3
ENSP00000216456	ENSG00000100568	VTI1B
ENSP00000216465	ENSG00000100577	GSTZ1
ENSP00000216468	ENSG00000100580	TMED8
ENSP00000216471	ENSG00000100583	SAMD15
ENSP00000216479	ENSG00000100591	AHSA1
ENSP00000216484	ENSG00000100596	SPTLC2
ENSP00000216487	ENSG00000100599	RIN3
ENSP00000216489	ENSG00000100601	ALKBH1
ENSP00000216492	ENSG00000100604	CHGA
ENSP00000216500	ENSG00000100612	DHRS7
ENSP00000216513	ENSG00000100625	SIX4
ENSP00000216540	ENSG00000100652	SLC10A1
ENSP00000216554	ENSG00000100664	EIF5
ENSP00000216605	ENSG00000100714	MTHFD1
ENSP00000216629	ENSG00000100739	BDKRB1
ENSP00000216639	ENSG00000100749	VRK1
ENSP00000216714	ENSG00000100823	APEX1
ENSP00000216727	ENSG00000100836	PABPN1
ENSP00000216733	ENSG00000100842	EFS
ENSP00000216756	ENSG00000100865	CINP
ENSP00000216774	ENSG00000100883	SRP54
ENSP00000216775	ENSG00000100884	CPNE6
ENSP00000216780	ENSG00000100889	PCK2
ENSP00000216797	ENSG00000100906	NFKBIA
ENSP00000216799	ENSG00000100908	FAM158A
ENSP00000216802	ENSG00000100911	PSME2
ENSP00000216807	ENSG00000100916	BRMS1L
ENSP00000216832	ENSG00000100941	PNN
ENSP00000216840	ENSG00000100949	RABGGTA
ENSP00000216862	ENSG00000019186	CYP24A1
ENSP00000216879	ENSG00000088833	NSFL1C
ENSP00000216911	ENSG00000087586	AURKA
ENSP00000216923	ENSG00000020256	ZFP64
ENSP00000216951	ENSG00000100983	GSS
ENSP00000216962	ENSG00000100994	PYGB
ENSP00000216968	ENSG00000101000	PROCR
ENSP00000217026	ENSG00000101057	MYBL2
ENSP00000217043	ENSG00000101074	R3HDML
ENSP00000217073	ENSG00000101104	PABPC1L
ENSP00000217086	ENSG00000101115	SALL4
ENSP00000217109	ENSG00000101138	CSTF1
ENSP00000217121	ENSG00000101150	TPD52L2
ENSP00000217130	ENSG00000196700	ZNF512B
ENSP00000217131	ENSG00000101160	CTSZ
ENSP00000217133	ENSG00000101162	TUBB1
ENSP00000217159	ENSG00000101187	SLCO4A1
ENSP00000217169	ENSG00000101197	BIRC7
ENSP00000217173	ENSG00000185019	UBOX5
ENSP00000217182	ENSG00000101210	EEF1A2
ENSP00000217185	ENSG00000101213	PTK6
ENSP00000217188	ENSG00000125508	SRMS
ENSP00000217195	ENSG00000101220	C20orf27
ENSP00000217233	ENSG00000101255	TRIB3
ENSP00000217244	ENSG00000101266	CSNK2A1
ENSP00000217246	ENSG00000172264	MACROD2
ENSP00000217254	ENSG00000101276	C20orf54
ENSP00000217260	ENSG00000101282	RSPO4
ENSP00000217270	ENSG00000101292	PROKR2
ENSP00000217289	ENSG00000101311	FERMT1
